topic_id,topic_slug,topic_name,instrument_code,instrument_name,proposed_importance_weight,proposed_status,structural_relevance,market_recognition,topic_sensitivity_participation,scale_influence,durability,rationale,evidence_types,evidence_summary,source_count,source_urls,source_publication_dates,confidence_level,ambiguity_notes,membership_review_needed,researched_at,leader_set_research_version
,AI PCB,AI PCB,4958,臻鼎-KY,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,Zhen Ding's official investor materials describe a broad PCB platform and explicitly position the company for structural growth from AI and high-end PCB demand.,official company product/IR; annual report or regulatory/industry source,Zhen Ding's official investor materials describe a broad PCB platform and explicitly position the company for structural growth from AI and high-end PCB demand.,2,https://www.zdtco.com/public/index.php/en/investor|https://www.zdtco.com/download/2025AnnualReport_EN,current investor page; 2025 annual report,HIGH,Strong PCB representative; verify exact AI-server product mix in the detailed annual report before approval.,false,2026-08-09,leader-set-research.v2
,AI PCB,AI PCB,8046,南電,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Nan Ya PCB's annual report describes high-layer-count and large-size PCB development, high-end communication substrates, advanced packaging and high-speed communication applications.",official company product/IR; annual report or regulatory/industry source,"Nan Ya PCB's annual report describes high-layer-count and large-size PCB development, high-end communication substrates, advanced packaging and high-speed communication applications.",2,https://www.nanyapcb.com.tw/nypcb/images/InvestorRelations/Report/113AnnualReportEN.pdf|https://www.nanyapcb.com.tw/nypcb/english/index.aspx,2024 annual report; current company site,MEDIUM_HIGH,The latest report source should be refreshed; 0.75 reflects strong but less directly AI-branded evidence than the top two.,false,2026-08-09,leader-set-research.v2
,AI伺服器整機／ODM,AI伺服器整機／ODM,2317,鴻海,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Foxconn officially describes AI-server vertical integration, rack-scale system integration, AI data-center solutions and a long-term NVIDIA/Intel infrastructure collaboration.",official company product/IR; annual report or regulatory/industry source,"Foxconn officially describes AI-server vertical integration, rack-scale system integration, AI data-center solutions and a long-term NVIDIA/Intel infrastructure collaboration.",3,https://www.foxconn.com/en-us/press-center/press-releases/latest-news/2054|https://www.foxconn.com/en-us/press-center/press-releases/latest-news/2052|https://www.foxconn.com/en-us/press-center/press-releases/latest-news/1350,2026-06-04; 2026-06-04; 2024-06-04,HIGH,Large diversified group; the AI-server identity is durable but may overlap with the separate large-cap topic.,false,2026-08-09,leader-set-research.v2
,AI伺服器整機／ODM,AI伺服器整機／ODM,2356,英業達,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Inventec's official product and applications pages identify AI servers, rack solutions, server motherboards and cloud/enterprise data-center applications as core capabilities.",official company product/IR; annual report or regulatory/industry source,"Inventec's official product and applications pages identify AI servers, rack solutions, server motherboards and cloud/enterprise data-center applications as core capabilities.",3,https://www.inventec.com/en/products.htm|https://imis.inventec.com/en|https://esg.inventec.com/uploads/files/shares/annualreport/2023AnnualReport.pdf,undated current product pages; 2023 annual report,MEDIUM_HIGH,The company spans PCs and other businesses; verify AI-server revenue/materiality in the latest annual report before final approval.,false,2026-08-09,leader-set-research.v2
,AI伺服器整機／ODM,AI伺服器整機／ODM,2382,廣達,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Quanta's official server portfolio covers servers, storage and network switches for data-center customers and cloud operators; the company is a durable core system/ODM representative.",official company product/IR; annual report or regulatory/industry source,"Quanta's official server portfolio covers servers, storage and network switches for data-center customers and cloud operators; the company is a durable core system/ODM representative.",2,https://www.quantatw.com/Quanta/english/product/qci_es.aspx|https://www.quantatw.com/quanta/english/investment/annualreports.aspx,undated current product page; 2025 annual report,HIGH,Confirm the repository's AI-server membership is intended to include broad data-center ODMs rather than only GPU-server specialists.,true,2026-08-09,leader-set-research.v2
,AI伺服器整機／ODM,AI伺服器整機／ODM,3231,緯創,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,Wistron describes itself as a global ICT/AI-infrastructure provider and has disclosed sustained AI-server capacity expansion and a U.S. AI-supercomputer manufacturing facility.,official company product/IR; annual report or regulatory/industry source,Wistron describes itself as a global ICT/AI-infrastructure provider and has disclosed sustained AI-server capacity expansion and a U.S. AI-supercomputer manufacturing facility.,3,https://www.wistron.com/en/Newsroom/2026-07-22|https://www.wistron.com/en/Newsroom/2026-03-12|https://www.wistron.com/file/9eab2d8c-1f1a-4d5c-8c29-8295fe1cb1e8/2023_WistronAnnualReport_EN_02.pdf,2026-07-21; 2026-03-12; 2023 annual report,HIGH,The current topic label is broader than AI server manufacturing; retain only if PM accepts Wistron's AI infrastructure role as CORE.,false,2026-08-09,leader-set-research.v2
,AI伺服器整機／ODM,AI伺服器整機／ODM,6669,緯穎,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Wiwynn explicitly focuses on hyperscale cloud infrastructure, AI computing fabrics, cloud servers and rack integration, with a dedicated AI infrastructure offering.",official company product/IR; annual report or regulatory/industry source,"Wiwynn explicitly focuses on hyperscale cloud infrastructure, AI computing fabrics, cloud servers and rack integration, with a dedicated AI infrastructure offering.",4,https://www.wiwynn.com/about-wiwynn/company-info|https://www.wiwynn.com/solutions|https://www.wiwynn.com/products|https://www.wiwynn.com/hubfs/22200375/Investors/Shareholders_Services/2025_Annual_Report_EN.pdf,undated current pages; 2025 annual report,HIGH,Strong structural fit; 0.75 preserves room for the two broadest system-ODM representatives.,false,2026-08-09,leader-set-research.v2
,AI影像辨識,AI影像辨識,6419,京晨科,0.75,NEEDS_REVIEW,MEDIUM,LOW,NOT_USED_FOR_IDENTITY,MEDIUM,MEDIUM,"The supplied stock overview places 6419 in AI image recognition, but the reviewed public company sources did not yet provide sufficiently direct product and scale evidence to promote it; it remains a flagged candidate only.",official company product/IR; annual report or regulatory/industry source,"The supplied stock overview places 6419 in AI image recognition, but the reviewed public company sources did not yet provide sufficiently direct product and scale evidence to promote it; it remains a flagged candidate only.",1,https://www.twse.com.tw/pdf/en/6419_en.pdf,current TWSE company profile,LOW,Classification debt and direct-company evidence gap; keep NEEDS_REVIEW and do not infer leadership from market activity.,true,2026-08-09,leader-set-research.v2
,AI影像辨識,AI影像辨識,6695,芯鼎,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"iCatch's official site and investor materials center on AI image SoCs, vision-ASIC mass production, edge AI and smart-camera/video applications, making it the clearest supplied structural representative.",official company product/IR; annual report or regulatory/industry source,"iCatch's official site and investor materials center on AI image SoCs, vision-ASIC mass production, edge AI and smart-camera/video applications, making it the clearest supplied structural representative.",3,https://www.icatchtek.com/|https://www.icatchtek.com/ProductOverview?subID=c3a9fe191ac048ab90da381aa7e10b05|https://www.icatchtek.com/download/Investor_Conference.pdf,current company site; current product page; current investor presentation,HIGH,"Direct fit; the topic may also include software/solution names, but no membership change is made.",true,2026-08-09,leader-set-research.v2
,AI影像辨識,AI影像辨識,6870,騰雲,0.50,NEEDS_REVIEW,MEDIUM,LOW,NOT_USED_FOR_IDENTITY,MEDIUM,MEDIUM,"A current investor-forum presentation references AI roadmap and face-recognition applications for Turn Cloud, but the evidence is not yet sufficient to establish a durable, company-level AI-image-recognition leadership position.",official company product/IR; annual report or regulatory/industry source,"A current investor-forum presentation references AI roadmap and face-recognition applications for Turn Cloud, but the evidence is not yet sufficient to establish a durable, company-level AI-image-recognition leadership position.",2,https://www.turn2cloud.com/download/earningsCall/20250603_%E5%85%83%E5%AF%8C%E5%86%AC%E5%AD%A3%E6%8A%95%E8%B3%87%E8%AB%96%E5%A3%87.pdf|https://www.twse.com.tw/pdf/en/6870_en.pdf,2025-05-28 investor forum deck; current TWSE company profile,LOW,Do not promote without direct product/revenue evidence; current evidence is application-level and may be adjacent rather than core.,false,2026-08-09,leader-set-research.v2
,AI電力基建,AI電力基建,2301,光寶科,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"LITEON's official materials describe data-center power shelves, BBU, 800VDC rack power, liquid-cooling integration and AI cloud infrastructure; the company has expanded from power management into system-level data-center infrastructure.",official company product/IR; annual report or regulatory/industry source,"LITEON's official materials describe data-center power shelves, BBU, 800VDC rack power, liquid-cooling integration and AI cloud infrastructure; the company has expanded from power management into system-level data-center infrastructure.",3,https://www.liteon.com/en/news/press-center/content/liteon-computex-2026|https://www.liteon.com/en/news/press-center/content/annual-general-meeting-2025|https://www.liteon.com/en/news/press-center/content/liteon-computex-nv-2025,2026-06-02; 2025 annual general meeting; 2025-05-20,MEDIUM_HIGH,Diversified issuer and newer system-level positioning; retain at 0.75 pending confirmation of the latest segment materiality.,false,2026-08-09,leader-set-research.v2
,AI電力基建,AI電力基建,2308,台達電,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Delta's official data-center and power-solution pages cover AC/DC power, UPS, power distribution, 800V/HVDC, cooling and integrated AI data-center infrastructure; the role is explicit and durable rather than a short-term AI association.",official company product/IR; annual report or regulatory/industry source,"Delta's official data-center and power-solution pages cover AC/DC power, UPS, power distribution, 800V/HVDC, cooling and integrated AI data-center infrastructure; the role is explicit and durable rather than a short-term AI association.",3,https://www.deltaww.com/en-US/products/data-center/|https://www.deltaww.com/en-US/products/power-solutions|https://landing.deltaww.com/en-us/news/39729,current data-center page; current power-solutions page; 2025-05-21 AI data-center release,HIGH,Cross-topic reuse with `液冷散熱` is intentional; PM should decide whether the power-infrastructure topic is broad enough to include Delta's complete grid-to-chip offering.,false,2026-08-09,leader-set-research.v2
,AI電力基建,AI電力基建,6282,康舒,0.75,NEEDS_REVIEW,HIGH,MEDIUM,NOT_USED_FOR_IDENTITY,HIGH,MEDIUM_HIGH,"AcBel's sustainability disclosure identifies power-supply manufacturing, vehicle power and smart-energy services, while the OCP product record documents a 33kW power shelf designed for AI and HPC infrastructure.",official company product/IR; annual report or regulatory/industry source,"AcBel's sustainability disclosure identifies power-supply manufacturing, vehicle power and smart-energy services, while the OCP product record documents a 33kW power shelf designed for AI and HPC infrastructure.",2,https://stream.acbel.com/csr/2021_AcBel_Sustainability_Report_CN.pdf|https://www.opencompute.org/ai-marketplace/products/844/acbel-19-33kw-power-shelf,2021 sustainability report; current OCP product record,MEDIUM,The official company evidence is dated and the current product evidence is an industry registry; refresh with a current AcBel annual report or official product page before PM approval.,false,2026-08-09,leader-set-research.v2
,ASIC,ASIC,3035,智原,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,MEDIUM_HIGH,HIGH,"Faraday's official investor materials identify ASIC/SoC design service, turnkey production and silicon IP as its core business, with 2025 revenue still predominantly from ASIC and wafer products.",official company product/IR; annual report or regulatory/industry source,"Faraday's official investor materials identify ASIC/SoC design service, turnkey production and silicon IP as its core business, with 2025 revenue still predominantly from ASIC and wafer products.",2,https://www.faraday-tech.com/en/content/IR/InvestorRelations|https://www.faraday-tech.com/resources/PDFFile/IR/AnnualReport/Faraday_AnnualReport_2026_A4_eng.pdf,current investor-relations page; 2025 annual report,HIGH,Smaller scale than the two top high-performance ASIC names; 0.75 reflects structural fit without forcing a market-cap ranking.,false,2026-08-09,leader-set-research.v2
,ASIC,ASIC,3443,創意,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"GUC's official materials describe advanced ASIC leadership, turnkey design services and SoC manufacturing services for high-performance and advanced-process applications; ASIC design is the company's structural identity.",official company product/IR; annual report or regulatory/industry source,"GUC's official materials describe advanced ASIC leadership, turnkey design services and SoC manufacturing services for high-performance and advanced-process applications; ASIC design is the company's structural identity.",2,https://www.guc-asic.com/en/news/PressRelease/PR_20260526|https://www.guc-asic.com/en/investor,2026-05-26 press release; current investor page,HIGH,The topic overlaps with `Chiplet` and advanced packaging; keep the ASIC identity separate from packaging-specific leadership.,false,2026-08-09,leader-set-research.v2
,ASIC,ASIC,3661,世芯-KY,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Alchip's official materials identify it as a high-performance ASIC provider for AI/HPC infrastructure, with ASIC/SoC design and production services, advanced packaging and long-running relationships with global system customers.",official company product/IR; annual report or regulatory/industry source,"Alchip's official materials identify it as a high-performance ASIC provider for AI/HPC infrastructure, with ASIC/SoC design and production services, advanced packaging and long-running relationships with global system customers.",3,https://www.alchip.com/en/Newsroom/Alchip_3DIC_ASIC|https://www.alchip.com/en/ASIC_Turnkey_Solutions/ASIC_Design_Services|https://www.alchip.com/en/Investors/financials,2025-01-16 release; current design-services page; current financials page,HIGH,Two 1.00 candidates are justified by distinct high-performance/advanced-ASIC and turnkey-design roles; PM should confirm whether the topic permits both.,false,2026-08-09,leader-set-research.v2
,BBU,BBU,3211,順達,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Company-produced investor and disclosure materials identify server BBU as a product line, state that a server BBU customer entered mass production, and describe continued development of server backup and UPS battery modules; this supports a major but not top-specialist BBU role.",official company product/IR; annual report or regulatory/industry source,"Company-produced investor and disclosure materials identify server BBU as a product line, state that a server BBU customer entered mass production, and describe continued development of server backup and UPS battery modules; this supports a major but not top-specialist BBU role.",3,https://m3.hocom.tw/Uploads/userfiles/files/095wyghvkq4dfgn.pdf|https://m3.hocom.tw/Uploads/userfiles/files/nwbwxik737ag2hf.pdf|https://m3.hocom.tw/Uploads/userfiles/files/1000167_r3iujagg5uqkqfi.pdf,2023-12-22 investor presentation; 2021 disclosure; 2024 company report mirror,MEDIUM_HIGH,The accessible company-produced evidence is hosted on a report mirror and the issuer also has a large legacy consumer-battery business; refresh against the latest direct IR package before final approval.,false,2026-08-09,leader-set-research.v2
,BBU,BBU,4931,新盛力,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,MEDIUM,HIGH,"STL's official product catalog explicitly includes BESS/UPS/BBU for industrial and cloud data-center applications, and its latest annual report identifies high-power server backup battery modules as a continuing R&D program; the role is structurally direct but smaller-scale than AES-KY or Dynapack.",official company product/IR; annual report or regulatory/industry source,"STL's official product catalog explicitly includes BESS/UPS/BBU for industrial and cloud data-center applications, and its latest annual report identifies high-power server backup battery modules as a continuing R&D program; the role is structurally direct but smaller-scale than AES-KY or Dynapack.",4,https://www.stl-tech.com/product_list.asp|https://www.stl-tech.com/product_info.asp?id=89|https://www.stl-tech.com/upload/ckeditor/files/2024AnualReport_zh.pdf|https://www.stl-tech.com/investor.asp,current product catalog; current product detail; 2024 annual report; current investor page,MEDIUM_HIGH,The company serves multiple battery applications and the BBU revenue mix is not fully quantified in the public page; retain 0.75 until PM confirms materiality.,false,2026-08-09,leader-set-research.v2
,BBU,BBU,6781,AES-KY,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"AES-KY's official basic-data and company materials explicitly identify data-center backup batteries and high-power backup systems as product applications, making it the clearest specialist BBU representative in the supplied PRIMARY pool.",official company product/IR; annual report or regulatory/industry source,"AES-KY's official basic-data and company materials explicitly identify data-center backup batteries and high-power backup systems as product applications, making it the clearest specialist BBU representative in the supplied PRIMARY pool.",3,https://www.advancedenergysolution.com.tw/article.php?lang=en&tb=1|https://www.advancedenergysolution.com.tw/article.php?cid=351&lang=cn&tb=3|https://www.advancedenergysolution.com.tw/,current investor/company profile; current basic-data page; current company site,HIGH,AES-KY also spans energy-storage and power applications; the 1.00 proposal is specific to explicit data-center backup-battery evidence.,false,2026-08-09,leader-set-research.v2
,CCL,CCL,1303,南亞,0.50,NEEDS_REVIEW,MEDIUM_HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Nan Ya's electronic-materials division produces CCL, copper foil and high-frequency/high-speed materials, but the issuer is diversified across chemicals, plastics, fibers and electronics.",official company product/IR; annual report or regulatory/industry source,"Nan Ya's electronic-materials division produces CCL, copper foil and high-frequency/high-speed materials, but the issuer is diversified across chemicals, plastics, fibers and electronics.",3,https://cclqc.npc.com.tw/ccl/zh_TW/Index.do|https://www.npc.com.tw/j2npc/enus/prodcate/Electronic%20Material%20%20%20%20%20|https://www.fpg.com.tw/uploads/images/media-center/ebook-top/2026/2025%20EN%20annual.pdf,2026-06-26 product page; 2022-12-26 product index; 2025 annual report,MEDIUM,"Structural CCL evidence exists, but the broad corporate mix argues for 0.50/NEEDS_REVIEW rather than top-tier CCL leadership.",false,2026-08-09,leader-set-research.v2
,CCL,CCL,2383,台光電,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Elite Material is described in public offering/IR material as a CCL, prepreg and multilayer-laminate manufacturer and global leading supplier of halogen-free and high-speed/high-frequency substrate materials.",official company product/IR; annual report or regulatory/industry source,"Elite Material is described in public offering/IR material as a CCL, prepreg and multilayer-laminate manufacturer and global leading supplier of halogen-free and high-speed/high-frequency substrate materials.",2,https://www.kgi.com.tw/zh-tw/-/media/files/kgis/3_2_6_ipo/book-building/23836-2.pdf|https://www.jms21.co.jp/en/files/libs/777/202407251517076245.pdf,2024-01-17 public-offering material; 2024-07-25 industry report,HIGH,Official company IR link should be added during PM review; current evidence is filing/industry-source backed.,false,2026-08-09,leader-set-research.v2
,CCL,CCL,6213,聯茂,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"ITEQ public disclosure identifies CCL, prepreg and mass lamination as its core manufacturing and sales activities; industry coverage describes high-end AI/server material expansion.",official company product/IR; annual report or regulatory/industry source,"ITEQ public disclosure identifies CCL, prepreg and mass lamination as its core manufacturing and sales activities; industry coverage describes high-end AI/server material expansion.",2,https://www.iteqcorp.com/wp-content/uploads/2016/08/1100726.pdf|https://ieknet.iek.org.tw/ieknews/news_more.aspx?nsl_id=8fe7c1bcdb4b471fabbe9a439276130e,2021-07-26 filing; 2025-11-17 industry publication,MEDIUM_HIGH,The official disclosure is older; refresh with the latest annual report before PM approval.,false,2026-08-09,leader-set-research.v2
,CCL,CCL,6274,台燿,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"TUC's official company page states that CCL and prepreg became its core business, with global service capacity; industry research also identifies Taiwan CCL makers including TUC as high-speed-material beneficiaries.",official company product/IR; annual report or regulatory/industry source,"TUC's official company page states that CCL and prepreg became its core business, with global service capacity; industry research also identifies Taiwan CCL makers including TUC as high-speed-material beneficiaries.",2,https://www.tuc.com.tw/about.php|https://www.kgi.com.hk/en/-/media/files/kgishk/research-reports/tw-reports/2024/01/pcb-sector_24102024.pdf,undated company page; 2024-10-24 industry report,HIGH,Keep below the top CCL structural tier until current product mix and high-speed share are confirmed from the latest annual report.,false,2026-08-09,leader-set-research.v2
