review_id,decision,affected_topics,affected_instruments,proposed_default,why_manual_approval,evidence_state,research_version
PM-014,Govern cross-topic reuse for high-speed and automotive connectors,高速連接器; 車用連接器,3665; 3023,3665 at 1.00 in both only if topic-specific reuse is allowed; 3023 at 0.75 for 車用連接器,"BizLink is a structural leader in both domains, while SINBON is a diversified automotive/connectivity provider",strong evidence; reuse and double-counting decision,leader-set-research.v2
PM-015,Separate specialist MSSP leadership from diversified IT-service support in 網路資安,網路資安; 端點資安; 雲端資安,6690; 6214,6690 at 1.00 and 6214 at 0.75 in 網路資安; do not infer membership changes,ACSI is a pure cybersecurity/MSSP identity while SYSTEX has cybersecurity as one core capability among several,strong evidence; topic-boundary decision,leader-set-research.v2
PM-016,Resolve solar/storage/heavy-electric cross-topic boundaries,太陽能; 儲能; 重電,3576; 3617; 1504; 1519,3576 at 1.00 in 太陽能 and 0.75 in 儲能; 3617 at 0.75 in 儲能; 1519 at 1.00 and 1504 at 0.75 in 重電,"The companies span generation, storage, UPS, transformers, motors and grid infrastructure at different layers",strong structural evidence; classification boundary remains,leader-set-research.v2
PM-021,Set aerospace-component top tier and separate MRO from component manufacturing,航太零組件,2634; 2645; 3004,2634 and 2645 at 1.00; 3004 at 0.75,Hanxiang and EGAT have broader aerospace-system/MRO platforms while NAFCO is a certified aerospace-fastener specialist,strong structural evidence; role-tier boundary remains,leader-set-research.v2
PM-022,"Set low-earth-orbit satellite tiers across specialist, ground-equipment and PCB roles",低軌衛星,3491; 6285; 2313,3491 at 1.00; 6285 and 2313 at 0.75,"The names represent satellite payload/RF, ground-network/antenna integration and satellite-PCB layers respectively",strong evidence; supply-chain-layer boundary remains,leader-set-research.v2
PM-023,Decide whether parent-company exposure through Techman qualifies in machine vision,機器視覺,2359; 4585; 6188,2359 at 1.00; 4585 at 0.75; keep 6188 at 0.50 NEEDS_REVIEW,"Solomon is a direct vision platform, Techman embeds vision in cobots, and 6188's evidence is primarily subsidiary-based",strong direct evidence for 2359/4585; indirect-parent evidence for 6188,leader-set-research.v2
PM-017,Confirm whether both graphics-card OEMs may receive 1.00,顯卡,2376; 2377,2376 and 2377 at 1.00,"GIGABYTE and MSI both have durable, dedicated graphics-card platforms and strong market recognition; the topic may legitimately have two top-tier representatives",strong direct official evidence; top-tier multiplicity decision,leader-set-research.v2
PM-018,Define the broad other-IC-design boundary and top tier,其他 IC設計,2454; 2379,2454 and 2379 at 1.00 as broad IC-design anchors; keep ASIC and other specific design topics separately governed,"MediaTek and Realtek are broad fabless IC platforms, while the supplied topic is intentionally broad and overlaps with more specialized IC-design labels",strong direct official evidence; hierarchy-boundary decision,leader-set-research.v2
PM-019,Set the power-semiconductor tier and avoid MOSFET/diode double counting,功率 MOSFET; 功率二極體／整流器,2342; 3317; 5299; 5425; 2481,2342 at 1.00; 3317 and 5299 at 0.75; 5425 at 1.00; 2481 at 0.75,"Several issuers span MOSFET, diode, IGBT and other discrete-power products; separate topic-specific weights are needed",strong structural evidence; cross-topic product-boundary decision,leader-set-research.v2
PM-020,Govern 8-inch versus 12-inch silicon-wafer reuse,8 吋矽晶圓; 12 吋矽晶圓,6488; 3532; 5483; 6182,6488 at 1.00 and 3532 at 0.75 in both researched wafer-size topics; research 5483 and 6182 before expanding the sets,"GlobalWafers and Formosa SUMCO are relevant to both wafer-size labels, but the supplied universe also contains two unresearched common members",strong evidence for two names; universe incomplete,leader-set-research.v2
PM-024,Set mature-process foundry tiers and prevent overlap with broad foundry/memory topics,成熟製程,2303; 5347; 6770,2303 at 1.00; 5347 and 6770 at 0.75,"UMC, VIS and PSMC represent different specialty-foundry, scale and memory/process mixes; the hierarchy overlaps with broad foundry and memory topics",strong structural evidence; hierarchy-boundary decision,leader-set-research.v2
PM-025,Confirm NOR Flash top tier and keep mixed-memory ESMT under review,NOR Flash／利基型記憶體,2337; 2344; 3006,2337 and 2344 at 1.00; keep 3006 at 0.50 NEEDS_REVIEW,"Macronix and Winbond have direct durable NOR identities, while ESMT's public disclosure is mixed-memory and not NOR-led",strong evidence for 2337/2344; weak topic-specific evidence for 3006,leader-set-research.v2
PM-026,"Set MCU top tier among Nuvoton, Sonix and Holtek",MCU,4919; 5471; 6202,4919 at 1.00; 5471 and 6202 at 0.75,"All three have durable MCU platforms, but Nuvoton has the broadest current portfolio while Sonix and Holtek have narrower product mixes",strong official product evidence; tier decision remains,leader-set-research.v2
PM-027,"Set steel/stainless-materials top tier across integrated steel, wire products and stainless distribution",鋼鐵／不鏽鋼材料,2002; 2007; 2027,2002 at 1.00; 2007 and 2027 at 0.75,"CSC is an integrated broad steel producer, Yieh Hsing is wire/long-product focused and Ta Chen combines stainless manufacturing with distribution",strong structural evidence; product-layer boundary remains,leader-set-research.v2
PM-028,Set glass-fiber-cloth tier and decide whether diversified Nan Ya remains eligible,玻纖布,1815; 1802; 1303,1815 at 1.00; 1802 at 0.75; keep 1303 at 0.50 NEEDS_REVIEW,"Fulltech is a focused electronic-grade glass-yarn/cloth producer, Taiwan Glass is diversified with a durable fiberglass business, and Nan Ya evidence is older/group-level",strong evidence for 1815/1802; current-mix refresh needed for 1303,leader-set-research.v2
PM-029,"Set air-cooling tiers across power/thermal platform, specialist thermal supplier and fan maker",風冷散熱,2308; 2421; 3071,2308 and 2421 at 1.00; 3071 at 0.75,"Delta has broad data-center infrastructure scale, SUNON has a direct cooling-solution identity, and ADDA is a supporting fan/thermal specialist",strong direct evidence; diversified-versus-specialist role boundary remains,leader-set-research.v2
PM-030,Set BBU tiers and confirm the materiality of battery-module suppliers,BBU,6781; 3211; 4931,6781 at 1.00; 3211 and 4931 at 0.75,"AES-KY has the clearest data-center backup-battery identity, while Dynapack and STL combine BBU with broader battery-module businesses",strong evidence; latest direct IR refresh recommended for 3211 and current BBU mix for 4931,leader-set-research.v2
PM-031,Set high-speed-interface tiers across SerDes/video-conversion and USB controller layers,高速介面,6684; 6756,6684 at 1.00; 6756 at 0.75,"Algoltek is explicitly centered on high-speed SerDes and retimer/redriver/video conversion, while VIA Labs is a durable USB/Type-C/USB4 controller specialist",strong direct evidence; topic boundary with 高速傳輸 remains,leader-set-research.v2
PM-032,Set endpoint/cloud security tiers and separate specialist MSSP from diversified IT/SaaS providers,端點資安; 雲端資安,6690; 6214; 6752,6690 at 1.00; 6214 and 6752 at 0.75 where direct cloud evidence is present; keep 6752 endpoint row NEEDS_REVIEW,"ACSI has explicit Cloud SOC and managed-security depth, SYSTEX is a broad cloud/cyber integrator, and GSS has stronger cloud-security than endpoint-specific evidence",strong evidence with endpoint scope ambiguity,leader-set-research.v2
PM-033,"Set other-AI-server-supply-chain tiers across server rails, thermal components and chassis",其他 AI伺服器供應鏈,2059; 3003; 3013,2059 at 1.00; 3003 and 3013 at 0.75,"The set spans mechanical server rails, thermal modules and AI-server chassis/racks; cross-topic reuse with thermal components must be controlled",strong direct evidence; supply-chain-layer boundary remains,leader-set-research.v2
PM-034,Set broad automotive-electronics/component tiers without changing membership,其他車用電子,1319; 6279; 6605,1319 at 1.00; 6279 and 6605 at 0.75,"Tong Yang represents body components, Hulane represents EV/high-frequency connectors and DEPO represents automotive lighting; the supplied topic is broader than any one component layer",strong direct evidence; broad-topic taxonomy decision remains,leader-set-research.v2
PM-035,"Set semiconductor-equipment tiers across test systems, equipment integration and probe-card platforms",其他半導體設備,2360; 6196; 6223; 6510,2360 and 6223 at 1.00; 6196 and 6510 at 0.75,"The candidates represent ATE/test systems, fab-equipment integration, probe-card/test equipment and test-interface specialization",strong direct evidence; broad-equipment boundary and overlap with equipment-components remain,leader-set-research.v2
PM-036,Set electronic-chemical-material tiers and distinguish manufacturers from integrators,電子化學材料,1773; 1785; 5434,1773 at 1.00; 1785 and 5434 at 0.75,"Shiny is a direct electronic-solvent manufacturer, Solar Applied Materials is a target/functional-material producer, and Topco is a semiconductor-materials integrator",strong evidence; manufacturer-versus-integrator governance decision remains,leader-set-research.v2
PM-037,Resolve the broad `半導體原料` boundary before approving epi-wafer and device candidates,半導體原料,4971; 4991; 2426,4971 at 1.00; 4991 at 0.75; keep 2426 at 0.50 NEEDS_REVIEW,"IntelliEPI is an upstream epi-wafer producer, GCS is a compound-wafer foundry, and Tyntek is primarily a device/optoelectronics producer",strong evidence for upstream names; material classification debt for 2426,leader-set-research.v2
PM-038,Set residential-development tiers and confirm whether sales/development hybrid 2348 qualifies,住宅營建,2548; 2542; 2348,2548 at 1.00; 2542 and 2348 at 0.75,"Huaku and Highwealth have direct developer identities, while Hiyes historically has a sales/marketing center of gravity despite expanding development",strong evidence; 2348 materiality review remains,leader-set-research.v2
PM-039,Set commercial-office/urban-renewal tiers across three developers,商辦／都市更新,2548; 2542; 2348,2548 at 1.00; 2542 and 2348 at 0.75,"Huaku and Highwealth have direct renewal/commercial disclosures, while Hiyes evidence is more project/subsidiary based",strong evidence; parent-company materiality remains,leader-set-research.v2
PM-040,Separate general construction leadership from specialized high-tech MEP/EPC,營建工程,2535; 2546; 6691,2535 at 1.00; 2546 at 0.75; keep 6691 at 0.50 NEEDS_REVIEW,"Dacin and Kedge are general/integrated contractors, while Yankey is a high-tech cleanroom and MEP/EPC specialist",strong evidence; broad construction-topic classification debt for 6691,leader-set-research.v2
PM-041,Set the CoWoS/FOPLP top tier and govern shared advanced-packaging leaders,CoWoS／先進封裝; FOPLP／面板級封裝,2330; 3711; 3481,2330 at 1.00 for CoWoS; 3711 at 1.00 for FOPLP/OSAT; 3481 at 0.75 where the topic scope includes panel-level packaging,"TSMC is the foundry/platform anchor, ASE is the packaging/OSAT anchor, and Innolux is a panel-level packaging participant; the hierarchy crosses ecosystem layers",strong external evidence; cross-topic and layer boundary remains,leader-set-research.v2
PM-042,"Resolve DRAM, NAND and memory-process boundaries before assigning shared 1.00 weights",DRAM; NAND Flash／SSD; 記憶體製程,2344; 2408; 2337; 2344; 2408,Keep topic-specific weights; do not infer that a DRAM or NAND leader is automatically a process-topic leader,"Nanya, Winbond and Macronix have different memory-product and process identities, and the supplied membership reuses names across adjacent topics",strong evidence; product-versus-process classification debt,leader-set-research.v2
PM-043,Confirm the RISC-V set and refresh direct evidence for VIA,RISC-V,3035; 2388,3035 at 1.00; keep 2388 at 0.50 NEEDS_REVIEW until direct RISC-V product evidence is confirmed,Faraday has direct RISC-V CPU/IP evidence; VIA has ecosystem and corporate evidence but not a sufficiently direct current product source in this pass,one high-confidence candidate; one unresolved candidate,leader-set-research.v2
PM-044,Confirm ADAS membership and source-age tolerance for 2367 and 3715,ADAS／車用影像; AI視覺／車用感知,2367; 3715,2367 at 1.00 for ADAS; 3715 at 0.75 for AI-vision/ADAS only if current product scope is reaffirmed,The evidence is structurally relevant but some public prospectus material is older and the two issuers occupy different automotive-vision layers,candidate with dated evidence; needs current IR refresh before approval,leader-set-research.v2
PM-045,Set compound-power and power-module topic boundaries,化合物半導體功率元件; 車用功率模組; 功率半導體,3016; 3707; 8255; 2481; 2241; 2342; 5425,Keep direct material/device specialists at higher tiers and retain diversified or unclear rows at NEEDS_REVIEW,"Episil, Actron and Panjit represent different wafer, module and discrete-device layers; the supplied topics overlap materially",strong evidence for specialists; boundary and cross-topic reuse unresolved,leader-set-research.v2
PM-046,"Resolve connector, protection and passive-component overlap",連接器; 電路保護元件; 電阻／電容／電感; 石英元件,3322; 3550; 3605; 2428; 6642; 7788,Use topic-specific evidence and do not let a diversified connector/passive group dominate every adjacent topic,"Jem, Copartner, Aces, Thinking, Fuzetec and Global PMX cover distinct product layers with overlapping supplied labels",mixed; several direct candidates and several classification-review rows,leader-set-research.v2
PM-047,"Review broad-bucket leader definitions for other raw materials, energy and communication optoelectronics",其他原物料; 其他能源; 其他通訊光電,4721; 4764; 6585; 3708; 3339; 5371; 3504,Keep all broad-bucket proposals NEEDS_REVIEW; require a narrower business identity or an explicit PM inclusion rule,"These labels are catch-all categories, and scale or market attention cannot substitute for a durable common topic identity",insufficient/shared-bucket evidence,leader-set-research.v2
PM-048,"Govern defense, shipbuilding, radar and drone cross-topic reuse",國防工業; 雷達與感測; 離岸風電; 無人機／航太,2634; 5222; 6753; 8033; 7402,Allow reuse only when the company role is separately evidenced for each topic; keep 7402 NEEDS_REVIEW,"The set mixes aerospace systems, microwave/radar, shipbuilding, offshore-wind marine engineering and drone platforms",several high-confidence structural roles; broad overlap remains,leader-set-research.v2
PM-049,Set the boundary between large-electronics and other-large-cap leader sets,大型電子權值; 其他大型權值,2330; 2317; 2382; 2352; 2409; 7777,Keep structurally evidenced electronics names in the electronics topic and require a separate rationale for generic large-cap support,"Large-cap status alone is not leadership evidence, while TSMC, Hon Hai, Quanta and Acer carry different structural topic roles",strong structural evidence; generic-bucket governance unresolved,leader-set-research.v2
PM-050,Do not force a five-name set for the 77-member other-raw-materials bucket,其他原物料,4721; 4764; 6585; 3708,Keep the four researched rows NEEDS_REVIEW and do not promote additional names without a common structural definition,The topic is a broad residual bucket; a larger set would create false precision and confuse scale with representativeness,classification debt / insufficient common-topic evidence,leader-set-research.v2
PM-051,Confirm whether semiconductor metrology services belong in semiconductor equipment/components,半導體設備零組件,3413; 6830; 8091,3413 at 1.00; 8091 at 0.75; keep 6830 at 0.75 NEEDS_REVIEW if the topic excludes analytical/metrology services,"Foxsemicon and Feedback are direct equipment/component names, while MA-tek is a process-support and analytical-services provider",strong evidence with one scope dispute,leader-set-research.v2
PM-052,Refresh direct IR evidence for PCB candidates before approval,PCB,2316; 3321; 3390; 6153; 6191; 6269,Keep the TWSE-profile-backed rows NEEDS_REVIEW until current company product/IR evidence is added,"The current pass established issuer identity but not enough direct, topic-specific durable evidence for each supplied PRIMARY member",insufficient current direct evidence,leader-set-research.v2
PM-053,Confirm whether an integrated wafer-materials distributor qualifies as the crystal-wafer-materials leader,晶圓材料,5434,"Keep 5434 at 0.75 CANDIDATE pending confirmation that the topic includes integrated distribution, technical service and material-platform roles",Topco has direct durable wafer-material evidence but is not a single-product wafer manufacturer,strong platform evidence; role boundary remains,leader-set-research.v2
PM-054,Confirm the broad core-IC-design topic scope for Novatek,核心 IC設計,3034,Keep 3034 at 1.00 CANDIDATE if display-driver/SoC design is within scope; otherwise classify the topic more narrowly,"Novatek is a durable IC-design leader, but the supplied topic has only one member and the company is concentrated in display and multimedia ICs",strong company evidence; topic-universe scope review,leader-set-research.v2
PM-055,Set the high-frequency electronic-materials tier for ITEQ and TUC,高頻電子材料,6213; 6274,"6213 at 1.00; 6274 at 0.75, subject to PM confirmation of whether both may remain in one shared material-topic set","Both are direct high-frequency CCL/prepreg manufacturers, while their product portfolios and disclosed market positions differ",strong direct evidence; top-tier ordering remains,leader-set-research.v2
PM-056,Resolve supplied code/name mismatch for 3003 before any AI-server leadership decision,其他 AI伺服器供應鏈,3003; 3653,Do not promote 3003; retain 3003 NEEDS_REVIEW and use 3653's Jentech evidence only for code 3653,"The supplied stock overview says 3003 is 健策, while external issuer records identify 3003 as K.S. Terminals and 健策/Jentech as 3653",critical source-master mismatch,leader-set-research.v2
PM-057,Resolve the duplicate/typo AI-server topic labels before governance approval,開他 AI伺服器供應鏈; 其他 AI伺服器供應鏈,3693; 2059; 3013; 3653; 3665,"Treat 3693 as a direct candidate for the supplied `開他` label, but require PM to normalize or retain the two labels before any approved Leader Set version","The hierarchy contains both labels, and the `開他` topic has only one PRIMARY member; silent merging would change topic identity",direct company evidence; classification normalization required,leader-set-research.v2
PM-058,"Set the broad solar Leader Set across cell, module and project roles",太陽能,3576; 6244; 6443; 6477,"3576 at 1.00; 6244, 6443 and 6477 at 0.75, subject to PM confirmation that one broad solar topic should combine manufacturing and project roles",The researched names are structurally relevant but occupy different photovoltaic layers and scales,strong direct evidence; role-tier boundary remains,leader-set-research.v2
PM-059,Set the high-speed-connector Leader Set and control overlap with high-speed transmission,高速連接器,3665; 3605; 5457; 6197; 6715,"3665 at 1.00; 3605, 5457, 6197 and 6715 at 0.75, with topic-specific reuse controls","The names cover connectors, internal cables, optical/electrical interconnects and data-center links across adjacent hierarchy labels",strong direct evidence; cross-topic reuse remains,leader-set-research.v2
PM-060,Treat single-member PRIMARY topics as insufficient Leader Set populations rather than forcing additional names,CoWoS; GaN 晶圓／GaN-on-Si; Retimer／Redriver; 其他 AI視覺; 其他連接器; 晶圓材料; 核心 IC設計; 視覺檢測; 記憶體製程; 開他 AI伺服器供應鏈,2330; 3016; 4966; 6419; 3322; 5434; 3034; 3535; 2408; 3693,"Keep the evidence-backed single candidate where appropriate, but mark the topic as population-insufficient and do not infer a 2–5 name set","Each topic has only one supplied PRIMARY member, so adding names would change membership rather than improve research quality",insufficient supplied population; no fabricated leaders,leader-set-research.v2
