instrument_code,instrument_name,market_code,topic_role,topic_name,topic_parent,topic_enabled,topic_level,topic_role_in_hierarchy,topic_weight_in_hierarchy,stock_topic_weight,topic_description,group_status,mapping_status,research_version
2454,聯發科,TPE,SECONDARY,ASIC,IC設計,Y,B,核心,1,0.8,| 客製化 ASIC、AI／HPC 加速器、CSP 客製晶片、ASIC 設計服務、NRE／Turnkey 設計。僅代理晶片、一般 IC 或單純封裝不收錄。,啟用,MATCHED,topic-universe-mapping.v1
3034,聯詠,TPE,SECONDARY,ASIC,IC設計,Y,B,核心,1,0.8,| 客製化 ASIC、AI／HPC 加速器、CSP 客製晶片、ASIC 設計服務、NRE／Turnkey 設計。僅代理晶片、一般 IC 或單純封裝不收錄。,啟用,MATCHED,topic-universe-mapping.v1
6462,神盾,TWO,SECONDARY,ASIC,IC設計,Y,B,核心,1,0.7,| 客製化 ASIC、AI／HPC 加速器、CSP 客製晶片、ASIC 設計服務、NRE／Turnkey 設計。僅代理晶片、一般 IC 或單純封裝不收錄。,啟用,MATCHED,topic-universe-mapping.v1
3211,順達,TWO,PRIMARY,BBU,AI運算與伺服器,Y,B,主流,0.9,1.3,AI 伺服器／資料中心電池備援模組、BBU、超級電容備援與 BBU 電源管理。一般 UPS 或儲能櫃改歸其他題材。,啟用,MATCHED,topic-universe-mapping.v1
4931,新盛力,TWO,PRIMARY,BBU,AI運算與伺服器,Y,B,主流,0.9,1.4,AI 伺服器／資料中心電池備援模組、BBU、超級電容備援與 BBU 電源管理。一般 UPS 或儲能櫃改歸其他題材。,啟用,MATCHED,topic-universe-mapping.v1
6781,AES-KY,TPE,PRIMARY,BBU,AI運算與伺服器,Y,B,主流,0.9,1.5,AI 伺服器／資料中心電池備援模組、BBU、超級電容備援與 BBU 電源管理。一般 UPS 或儲能櫃改歸其他題材。,啟用,MATCHED,topic-universe-mapping.v1
2301,光寶科,TPE,SECONDARY,BBU,AI運算與伺服器,Y,B,主流,0.9,0.9,AI 伺服器／資料中心電池備援模組、BBU、超級電容備援與 BBU 電源管理。一般 UPS 或儲能櫃改歸其他題材。,啟用,MATCHED,topic-universe-mapping.v1
2308,台達電,TPE,SECONDARY,BBU,AI運算與伺服器,Y,B,主流,0.9,1.0,AI 伺服器／資料中心電池備援模組、BBU、超級電容備援與 BBU 電源管理。一般 UPS 或儲能櫃改歸其他題材。,啟用,MATCHED,topic-universe-mapping.v1
1303,南亞,TPE,PRIMARY,CCL,高頻電子材料,Y,A,核心,1,1.2,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
2383,台光電,TPE,PRIMARY,CCL,高頻電子材料,Y,A,核心,1,1.5,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
4939,亞電,TWO,PRIMARY,CCL,高頻電子材料,Y,A,核心,1,1.2,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
6213,聯茂,TPE,PRIMARY,CCL,高頻電子材料,Y,A,核心,1,1.4,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
6274,台燿,TWO,PRIMARY,CCL,高頻電子材料,Y,A,核心,1,1.5,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
6672,騰輝電子-KY,TPE,PRIMARY,CCL,高頻電子材料,Y,A,核心,1,1.3,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
6727,亞泰金屬,TWO,PRIMARY,CCL,高頻電子材料,Y,A,核心,1,1.4,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
8039,台虹,TPE,PRIMARY,CCL,高頻電子材料,Y,A,核心,1,1.4,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
8358,金居,TWO,PRIMARY,CCL,高頻電子材料,Y,A,核心,1,1.4,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
1815,富喬,TWO,SECONDARY,CCL,高頻電子材料,Y,A,核心,1,0.8,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
2368,金像電,TPE,SECONDARY,CCL,高頻電子材料,Y,A,核心,1,0.8,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
5340,建榮,TWO,SECONDARY,CCL,高頻電子材料,Y,A,核心,1,0.8,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,啟用,MATCHED,topic-universe-mapping.v1
2449,京元電子,TPE,PRIMARY,Chiplet,封裝測試,Y,A,次主流,0.7,1.4,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
3037,欣興,TPE,PRIMARY,Chiplet,封裝測試,Y,A,次主流,0.7,1.5,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
3189,景碩,TPE,PRIMARY,Chiplet,封裝測試,Y,A,次主流,0.7,1.4,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
3265,台星科,TWO,PRIMARY,Chiplet,封裝測試,Y,A,次主流,0.7,1.3,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
3374,精材,TWO,PRIMARY,Chiplet,封裝測試,Y,A,次主流,0.7,1.4,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
3711,日月光投控,TPE,PRIMARY,Chiplet,封裝測試,Y,A,次主流,0.7,1.5,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
6239,力成,TPE,PRIMARY,Chiplet,封裝測試,Y,A,次主流,0.7,1.5,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
6257,矽格,TPE,PRIMARY,Chiplet,封裝測試,Y,A,次主流,0.7,1.3,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
2467,志聖,TPE,SECONDARY,Chiplet,封裝測試,Y,A,次主流,0.7,0.8,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
6187,萬潤,TWO,SECONDARY,Chiplet,封裝測試,Y,A,次主流,0.7,0.9,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
6451,訊芯-KY,TPE,SECONDARY,Chiplet,封裝測試,Y,A,次主流,0.7,0.9,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
6640,均華,TWO,SECONDARY,Chiplet,封裝測試,Y,A,次主流,0.7,0.9,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,啟用,MATCHED,topic-universe-mapping.v1
2330,台積電,TPE,PRIMARY,CoWoS,封裝測試,Y,D,主流,1,1.5,明確參與台積電 CoWoS／2.5D 封裝的中介層、封裝、測試、設備、材料或服務。僅因 AI 或載板需求受惠，不足以掛 CoWoS。,啟用,MATCHED,topic-universe-mapping.v1
2467,志聖,TPE,SECONDARY,CoWoS,封裝測試,Y,D,主流,1,0.8,明確參與台積電 CoWoS／2.5D 封裝的中介層、封裝、測試、設備、材料或服務。僅因 AI 或載板需求受惠，不足以掛 CoWoS。,啟用,MATCHED,topic-universe-mapping.v1
3131,弘塑,TWO,SECONDARY,CoWoS,封裝測試,Y,D,主流,1,0.9,明確參與台積電 CoWoS／2.5D 封裝的中介層、封裝、測試、設備、材料或服務。僅因 AI 或載板需求受惠，不足以掛 CoWoS。,啟用,MATCHED,topic-universe-mapping.v1
3583,辛耘,TPE,SECONDARY,CoWoS,封裝測試,Y,D,主流,1,0.9,明確參與台積電 CoWoS／2.5D 封裝的中介層、封裝、測試、設備、材料或服務。僅因 AI 或載板需求受惠，不足以掛 CoWoS。,啟用,MATCHED,topic-universe-mapping.v1
3711,日月光投控,TPE,SECONDARY,CoWoS,封裝測試,Y,D,主流,1,1.0,明確參與台積電 CoWoS／2.5D 封裝的中介層、封裝、測試、設備、材料或服務。僅因 AI 或載板需求受惠，不足以掛 CoWoS。,啟用,MATCHED,topic-universe-mapping.v1
4542,科嶠,TWO,SECONDARY,CoWoS,封裝測試,Y,D,主流,1,0,明確參與台積電 CoWoS／2.5D 封裝的中介層、封裝、測試、設備、材料或服務。僅因 AI 或載板需求受惠，不足以掛 CoWoS。,啟用,MATCHED,topic-universe-mapping.v1
