evidence_key,dimension,source_field,current_shape,role_in_strength,quality_or_strength,status,historical_reconstructability,frontend_safe_now,leader_proxy_risk,notes
previous_candidate_stage,Persistence,persistence.previousCandidateStage,string or null,transition context,quality/process metadata,CURRENT_SHADOW_EVIDENCE,REQUIRES_STATEFUL_PIT_REPLAY,not a Strength field,LOW,Must remain tied to Lifecycle candidate semantics.
candidate_streak,Persistence,confirmationState.candidateStreak,integer,confirmation persistence context,quality/process metadata,CURRENT_SHADOW_EVIDENCE,REQUIRES_STATEFUL_PIT_REPLAY,not a Strength label,LOW,A streak of a candidate stage is not proof of a stronger topic.
recent_breadth_persistence,Persistence,not currently exposed,null/unavailable,desired direct persistence evidence,Strength evidence,UNAVAILABLE_UNTIL_HISTORICAL_WINDOW,do not display as zero,LOW,Requires a bounded prior-N trading-day window and PIT-safe replay; no historical information may be invented.
coverage_pct,Quality,coveragePct,float percentage,valid-observation coverage,quality metadata only,QUALITY_NOT_STRENGTH,REQUIRES_PIT_MEMBERSHIP_AND_OBSERVATION_STATUS,show as data coverage disclosure,LOW,High coverage improves reliability; it does not make returns stronger.
confidence,Quality,sampleConfidence.confidence,float 0..1,combined observation reliability,quality metadata only,QUALITY_NOT_STRENGTH,REQUIRES_PIT_MEMBERSHIP_AND_OBSERVATION_STATUS,show as confidence/quality,LOW,Engine confidence is not a market-strength value and must not become a component.
sample_confidence,Quality,sampleConfidence.sampleConfidence,float 0..1,small-sample reliability,quality metadata only,QUALITY_NOT_STRENGTH,REQUIRES_MEMBER_COUNTS_AND_PIT_OBSERVATIONS,show quality state only,LOW,Count ramp prevents 2/2 from looking equivalent to 16/20.
observed_expected_valid_counts,Quality,diffusion and sample_confidence counts,integers,denominator and data completeness,quality metadata only,CURRENT_SHADOW_EVIDENCE,REQUIRES_PIT_MEMBERSHIP_AND_OBSERVATION_STATUS,show counts if backend publishes them,LOW,Counts are needed to interpret every raw breadth/intensity field.
data_status_evaluation_status,Quality,lifecycle dataStatus/evaluationStatus,enum strings,replay/publication gate,quality metadata only,CURRENT_SHADOW_EVIDENCE,REQUIRES_PUBLICATION_ENVELOPE,show explicit unavailable/shadow status,LOW,Do not coerce unavailable to weak.
policy_calculation_lineage,Quality,policyVersion/calculationVersion/evaluationMode/lineage,version and mode fields,reproducibility and governance,quality metadata only,CURRENT_SHADOW_EVIDENCE,REQUIRES_FORMAL_LINEAGE_BINDING,disclose mode/version when available,MEDIUM,Required to keep provisional evidence separate from future approved policy.
volume_news_radar_institutional_flow,Excluded,not in current Lifecycle input,unavailable,not used in Strength V0,excluded by scope,EXCLUDED,NOT_APPLICABLE,do not add fields,LOW,No volume/news/Radar/institutional-flow input is authorized for this contract.
formal_leader_set,Excluded,not available as Lifecycle authority,unavailable,not used in Strength V0,excluded/deferred,UNAVAILABLE_FORMAL_AUTHORITY,WAITING_FORMAL_ROLE_AUTHORITY,do not display as available, HIGH,Leader proxy must not be upgraded by naming or frontend mapping.
