topic_key,topic_name,parent_topic,enabled,description,governance_state
一般連接器,一般連接器,電子連接,TRUE,一般電子、工業、消費、車用連接器、端子與線束。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
低軌衛星,低軌衛星,通訊與光電,TRUE,衛星通訊、地面站、天線、衛星終端、通訊模組與太空通訊供應鏈。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
住宅營建,住宅營建,建設開發,TRUE,住宅建案、建商、餘屋、交屋與住宅代銷。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
保護元件,保護元件,功率半導體,TRUE,| TVS、ESD、保險絲、壓敏電阻與電路保護元件；一般電阻／電容不收錄。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
傳統產業材料,傳統產業材料,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
儲能,儲能,電力與能源,TRUE,電池模組、儲能櫃、BMS、PCS、EMS、工商儲能與電網儲能。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
先進封裝設備,先進封裝設備,半導體設備與權值,TRUE,直接服務 CoWoS、SoIC、Chiplet、混合鍵合、RDL、先進封裝組裝／檢測的設備。只做一般封裝或設備零件者分到其他細題材。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
光通訊,光通訊,通訊與光電,TRUE,光模組、雷射、光收發器、光纖元件與光通訊設備；若核心是矽光子，優先矽光子。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他 AI伺服器供應鏈,其他 AI伺服器供應鏈,AI運算與伺服器,TRUE,AI 伺服器零組件、機櫃、滑軌、電源、線材、網通或工業電腦等，具有 AI 伺服器實際訂單／產品，但沒有更精確細題材。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他 AI視覺,其他 AI視覺,AI視覺,TRUE,有 AI 視覺產品或服務，但無法歸入機器視覺、視覺檢測或 AI 影像辨識。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他 IC設計,其他 IC設計,IC設計,TRUE,有實際 IC 設計產品，但不符合 ASIC、MCU、RISC-V 或其他已命名細題材；例如驅動 IC、網通 IC、音訊 IC、一般邏輯 IC。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他動元件,其他動元件,,FALSE,,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他半導體設備,其他半導體設備,半導體設備與權值,TRUE,晶圓製造、封裝測試、清洗、檢測、再生晶圓、量測等設備，但無法歸入先進封裝設備或設備零組件。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他原物料,其他原物料,傳統產業材料,TRUE,有明確原物料、金屬、紙漿、玻璃或能源報價關聯，但不屬上述細題材。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他國防,其他國防,軍工國防,TRUE,國防訂單或軍工產品，但無法歸入無人機、雷達感測、船舶或航太零組件。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他大型權值,其他大型權值,大型權值,TRUE,大型市值權值股，但不屬大型電子或大型金融。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他能源,其他能源,電力與能源,TRUE,有能源產品或服務，但無法歸入重電、儲能、太陽能、AI 電力或離岸風電。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他被動元件,其他被動元件,被動元件,TRUE,有明確被動元件產品，但不屬 MLCC、鋁電容、固態電容、電感或石英元件。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他車用電子,其他車用電子,車用電子,TRUE,車用電子產品，但無法歸入 EV、ADAS、車用功率或車用連接器。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他通訊光電,其他通訊光電,通訊與光電,TRUE,通訊或光電產品，但不屬網通、低軌衛星、矽光子或一般光通訊。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
特用與精密線束,特用與精密線束,電子連接,TRUE,明確為連接元件但無法歸高速或一般連接器的特殊連接方案。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
功率 MOSFET,功率 MOSFET,功率半導體,TRUE,MOSFET、Super Junction、低壓／高壓功率 MOSFET 及其製造商。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
功率二極體／整流器,功率二極體／整流器,功率半導體,TRUE,整流二極體、蕭特基、TVS 以外的功率二極體與整流器。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
功率半導體,功率半導體,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
化工原料／塑化報價,化工原料／塑化報價,傳統產業材料,TRUE,塑化、石化、化工原料與報價循環；不可只因使用化學品就歸入。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
利基型光電磊晶,利基型光電磊晶,半導體材料,TRUE,製程化學品、特殊氣體、石英耗材、光阻、靶材、清洗／蝕刻材料與晶圓製程耗材；矽晶圓應優先分到晶圓材料。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
半導體材料,半導體材料,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
半導體製造,半導體製造,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
半導體設備與權值,半導體設備與權值,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
半導體設備零組件,半導體設備零組件,半導體設備與權值,TRUE,真空、腔體、石英、陶瓷、精密機構、閥件、濕製程零件、耗材等設備關鍵零組件；不是整機設備商。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
商辦／都市更新,商辦／都市更新,建設開發,TRUE,商辦、都更、危老、開發權與商用不動產。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
固態電容,固態電容,被動元件,TRUE,導電高分子、固態電容與高可靠度電容；若產品主體是鋁電解，優先歸鋁電容。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
大型權值,大型權值,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
大型電子權值,大型電子權值,大型權值,TRUE,大型電子市值權值股標記；只作市場權重與觀察用途，不取代產業細題材。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
太陽能,太陽能,電力與能源,TRUE,太陽能電池、模組、矽晶圓、導電漿、網版、案場與 EPC。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
封裝測試,封裝測試,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
工業自動化,工業自動化,自動化與機器人,TRUE,PLC、工控、機器控制、運動控制、工業電腦與智慧工廠自動化設備。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
建設開發,建設開發,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
成熟製程,成熟製程,半導體製造,TRUE,28nm 以上或市場定義的成熟節點、特殊成熟製程與成熟製程代工。MCU／功率元件若已有更精確題材，優先使用產品題材。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
散熱零組件,散熱零組件,熱管理,TRUE,散熱器、扣件、風扇零件、熱介面材料等零組件，但非完整風冷／液冷系統。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
晶圓代工,晶圓代工,半導體製造,TRUE,受託晶圓製造、純晶圓代工與晶圓製造服務；不因公司設有自有晶圓廠就自動收錄。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
晶圓材料,晶圓材料,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
核心 IC設計,核心 IC設計,,FALSE,,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
機器人系統整合,機器人系統整合,自動化與機器人,TRUE,機器人本體、AMR／AGV、機器人整合、智慧工廠與自動化專案服務。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
機器人零組件,機器人零組件,自動化與機器人,TRUE,馬達、伺服、減速機、線性滑軌、滾珠螺桿、控制器、致動器與精密定位。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
機器視覺,機器視覺,AI視覺,TRUE,工業相機、鏡頭、3D 視覺、視覺感測與機器視覺系統。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
液冷散熱,液冷散熱,熱管理,TRUE,冷板、泵浦、管路、快接頭、CDU、冷卻液與液冷系統整合。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
無人機,無人機,軍工國防,TRUE,無人機、無人載具、飛控、任務系統與軍用／商用無人系統。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
熱管理,熱管理,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
營建工程,營建工程,建設開發,TRUE,營造、工程承攬、公共工程、機電工程與基礎建設施工。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
特殊製程,特殊製程,半導體製造,TRUE,RF、BCD、CIS、MEMS、嵌入式非揮發記憶體等特殊製程平台。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
特殊鋼／高性能合金,特殊鋼／高性能合金,傳統產業材料,TRUE,高性能鋼、鎳基／鈦合金、航太與能源用特殊合金。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
玻璃基板,玻璃基板,半導體設備與權值,TRUE,半導體封裝用玻璃基板、玻璃載板、TGV、玻璃加工／檢測；顯示器玻璃若非半導體或封裝用途，應改看顯示相關題材。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
玻纖布,玻纖布,PCB供應鏈,TRUE,電子級玻纖布、低介電／低損耗玻纖布與 CCL 用玻璃纖維材料。一般紡織玻纖不收錄。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
石英元件,石英元件,被動元件,TRUE,石英晶體、振盪器、TCXO、頻率控制與時脈元件。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
矽光子,矽光子,通訊與光電,TRUE,矽光子晶片、光引擎、CPO／LPO、光電整合與資料中心高速光傳輸。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
端點資安,端點資安,資安服務,TRUE,EDR、端點防護、行動／PC／伺服器端資安軟體。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
紡織,紡織,傳統產業材料,TRUE,紡紗、織布、成衣、機能布與紡織材料。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
網路資安,網路資安,資安服務,TRUE,網路防火牆、SOC、零信任、網路監控、入侵偵測與企業網路防護。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
網通,網通,通訊與光電,TRUE,交換器、路由器、Wi-Fi、企業網路、資料中心網路與網通設備。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
自動化與機器人,自動化與機器人,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
航太零組件,航太零組件,軍工國防,TRUE,航太結構件、引擎零件、航電、飛機零件與太空設備零件。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
被動元件,被動元件,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
視覺檢測,視覺檢測,AI視覺,TRUE,AOI、瑕疵檢測、品質檢測、量測與製程視覺檢測。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
記憶體,記憶體,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
記憶體模組／通路,記憶體模組／通路,記憶體,TRUE,記憶體模組、模組品牌、記憶體代理與通路；不含晶圓製造商。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
記憶體製程,記憶體製程,半導體製造,TRUE,記憶體晶圓製造流程或記憶體專用製程服務；一般記憶體產品公司不必然掛此題材。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
資安服務,資安服務,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
車用功率半導體,車用功率半導體,車用電子,TRUE,| 車用 MOSFET、IGBT、SiC／GaN 與車用電源元件。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
車用連接器,車用連接器,車用電子,TRUE,車用高速、高壓、充電與車內連接器。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
車用電子,車用電子,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
軍工國防,軍工國防,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
軍工船舶,軍工船舶,軍工國防,TRUE,軍艦、軍用船艇、海事防衛與軍工造船。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
通訊與光電,通訊與光電,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
重電,重電,電力與能源,TRUE,變壓器、配電盤、開關設備、電網工程與輸配電設備。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
鋁電容,鋁電容,被動元件,TRUE,鋁質電解電容、鋁固態電容及其電解液／箔材供應鏈。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
鋼鐵／不鏽鋼材料,鋼鐵／不鏽鋼材料,傳統產業材料,TRUE,鋼鐵、不鏽鋼、鋼胚、特殊加工與金屬材料報價。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
開他 AI伺服器供應鏈,開他 AI伺服器供應鏈,,FALSE,,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
離岸風電／鋼構,離岸風電／鋼構,電力與能源,TRUE,離岸風電水下基礎、風機鋼構、塔架與海事能源工程。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
雲端資安,雲端資安,資安服務,TRUE,雲端工作負載防護、SASE、雲端 IAM、雲端監控與雲端資安服務。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
雷達與感測,雷達與感測,軍工國防,TRUE,軍工雷達、電子偵察、軍用感測、警戒與目標追蹤系統。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
電力與能源,電力與能源,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
電動車／EV,電動車／EV,車用電子,TRUE,電動車動力、充電、電池、車用電子與 EV 專用零組件。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
電子化學材料,電子化學材料,半導體材料,TRUE,| ABF／BT 樹脂、封裝膠材、電子級化學配方、感光材料與電子材料化學品。若是完成的 ABF 載板，改歸 ABF載板候選。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
電子連接,電子連接,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
電感,電感,被動元件,TRUE,電感、功率電感、磁珠、磁性元件與高頻電感。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
顯卡,顯卡,AI運算與伺服器,TRUE,GPU 板卡、AI 加速卡、繪圖卡、板卡代工與顯示卡供應鏈。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
風冷散熱,風冷散熱,熱管理,TRUE,風扇、散熱器、熱管、均熱板與風冷模組；若主要產品是液冷系統，不收錄。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
高速互連,高速互連,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
高速介面,高速介面,高速互連,TRUE,高速 SerDes、介面控制 IC、PHY、USB／PCIe／Ethernet 介面產品。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
高速傳輸,高速傳輸,高速互連,TRUE,USB4、Thunderbolt、PCIe、Retimer、Redriver、高速介面IC、線材與高速連接器。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
高速連接器,高速連接器,電子連接,TRUE,112G／224G、PCIe、伺服器、資料中心、車用高速連接器與端子。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
PCB供應鏈,PCB供應鏈,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
全球物流與運輸基建,全球物流與運輸基建,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
貨代與物流,貨代與物流,全球物流與運輸基建,TRUE,貨運代理、國際物流、倉儲、報關、供應鏈管理、第三方物流與綜合物流服務；不含以船隊或機隊營運為主的運輸公司。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
貨櫃海運,貨櫃海運,全球物流與運輸基建,TRUE,貨櫃航運公司、貨櫃船隊、航線與港口運能、運價與貨櫃物流服務；不含散裝航運與油輪航運。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
散裝航運,散裝航運,全球物流與運輸基建,TRUE,乾散貨、散裝貨物船隊、海岬型／巴拿馬型／輕便型散裝船與相關運價；不含貨櫃航運與油輪航運。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
航空客貨運,航空客貨運,全球物流與運輸基建,TRUE,航空公司、客運航線、航空貨運、機隊與機場航運服務；以航空運輸營運為主。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
邊緣運算與智慧影像 (Edge AI & Vision),邊緣運算與智慧影像 (Edge AI & Vision),AI視覺,TRUE,邊緣 AI 晶片、終端 AI 運算、智慧攝影機、視覺感知、影像分析與裝置端推論；聚焦終端設備部署，不含純雲端 AI 軟體。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
高階測試介面與探針 (Advanced Testing Interfaces),高階測試介面與探針 (Advanced Testing Interfaces),封裝測試,TRUE,探針卡、測試探針、測試座、測試介面、晶圓級量測與高階封裝／Chiplet／CoWoS 測試硬體；不含一般封裝代工或單純測試服務。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
利基型特用化學 (Specialty Chemical Materials),利基型特用化學 (Specialty Chemical Materials),半導體材料,TRUE,半導體與電子製程用特用化學品、先進封裝製程材料、去阻劑、清洗／蝕刻／表面處理與其他高附加價值化學材料；不含一般化工原料。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
生技醫藥與CDMO (Biotech & CDMO),生技醫藥與CDMO (Biotech & CDMO),傳統產業材料,TRUE,生物製劑、製藥、醫療生技、原料藥、製劑與委託開發暨製造服務；依 Owner 定義歸入傳統產業材料大族群，不代表其為一般原材料公司。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他半導體材料,其他半導體材料,半導體材料,TRUE,半導體材料供應鏈中，無法歸入利基型光電磊晶、電子化學材料或其他已命名細題材的材料與整合服務；保留供 Owner review。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
製程耗材與特料,製程耗材與特料,PCB供應鏈,TRUE,PCB供應鏈中，無法歸入銅箔基板CCL、傳統硬板與軟板、玻纖布或其他已命名細題材的材料／基材產品；保留供 Owner review。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
其他熱管理,其他熱管理,熱管理,TRUE,熱管理中，無法歸入液冷散熱、風冷散熱或散熱零組件等既有細題材的產品／服務；保留供 Owner review。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
傳統硬板與軟板,傳統硬板與軟板,PCB供應鏈,TRUE,一般 PCB、高層數板、HDI、軟板、載板製造；若明確為 AI 伺服器板，優先 AI PCB；若明確為 ABF 載板，優先 ABF載板候選。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
